text,page,font_size_avg,font_size_max,is_bold,is_italic,x_position,y_position,word_count,char_length,is_title_case,is_upper_case,has_numbers,page_width,page_height,font_size_avg_norm,font_size_max_norm,x_position_norm,y_position_norm,font_size_relative,filename,label
Home Town as recorded in the Service Book,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,241.09690856933594,8,41,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.28633837122248923,0.8349957121430116,file01.pdf,None
7.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,265.0389404296875,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.31477308839630347,0.8349957121430116,file01.pdf,None
Whether wife / husband is employed and if,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,253.27745056152344,8,41,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.30080457311344827,0.8349957121430116,file01.pdf,None
so whether entitled to LTC,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,270.85638427734375,5,26,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.32168216660017074,0.8349957121430116,file01.pdf,None
8.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,309.5611572265625,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.3676498304353474,0.8349957121430116,file01.pdf,None
Whether the concession is to be availed for,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,288.98095703125,8,43,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.34320778744804037,0.8349957121430116,file01.pdf,None
visiting home town and if so block for which,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,306.55987548828125,9,44,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.36408536281268555,0.8349957121430116,file01.pdf,None
LTC is to be availed.,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,324.19720458984375,5,21,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.3850323094891256,0.8349957121430116,file01.pdf,None
9.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,362.833740234375,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.43091893139474463,0.8349957121430116,file01.pdf,None
(a) If the concession is to visit anywhere in,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,342.25360107421875,9,45,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.40647696089574675,0.8349957121430116,file01.pdf,None
"India, the place to be visited.",1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,359.89093017578125,6,31,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.42742390757218673,0.8349957121430116,file01.pdf,None
(b) Block for which to be availed.,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,377.4698486328125,7,34,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.448301482936832,0.8349957121430116,file01.pdf,None
10.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,416.174560546875,1,3,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.49426907428369954,0.8349957121430116,file01.pdf,None
Single,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,395.59442138671875,1,6,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.4698271037847016,0.8349957121430116,file01.pdf,None
rail,1,9.744400024414062,9.744400024414062,False,False,136.138671875,395.59442138671875,1,4,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.2288044905462185,0.4698271037847016,0.8349957121430116,file01.pdf,None
fare/bus,1,9.744400024414062,9.744400024414062,False,False,163.60035705566406,395.59442138671875,1,8,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.27495858328683037,0.4698271037847016,0.8349957121430116,file01.pdf,None
fare,1,9.744400024414062,9.744400024414062,False,False,213.70704650878906,395.59442138671875,1,4,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.3591715067374606,0.4698271037847016,0.8349957121430116,file01.pdf,None
from,1,9.744400024414062,9.744400024414062,False,False,244.8404083251953,395.59442138671875,1,4,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.4114964845801602,0.4698271037847016,0.8349957121430116,file01.pdf,None
the,1,9.744400024414062,9.744400024414062,False,False,279.2371520996094,395.59442138671875,1,3,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.4693061379825368,0.4698271037847016,0.8349957121430116,file01.pdf,None
headquarters to home town/place of visit by,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,413.17327880859375,7,43,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.4907046066610377,0.8349957121430116,file01.pdf,None
shortest route.,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,430.752197265625,2,15,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.511582182025683,0.8349957121430116,file01.pdf,None
11.,1,9.744400024414062,9.744400024414062,True,False,70.0199966430664,498.6121826171875,1,3,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11768066662700237,0.5921759888565172,0.8349957121430116,file01.pdf,None
Persons in respect of whom LTC is proposed to be availed.,1,9.744400024414062,9.744400024414062,False,False,95.99856567382812,448.93524169921875,11,57,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.5331772466736565,0.8349957121430116,file01.pdf,None
S.No,1,9.744400024414062,9.744400024414062,True,False,95.99856567382812,464.05853271484375,1,4,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.16134212718290442,0.5511383998988643,0.8349957121430116,file01.pdf,None
Name,1,9.744400024414062,9.744400024414062,True,False,211.41220092773438,464.05853271484375,1,4,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.35531462340795694,0.5511383998988643,0.8349957121430116,file01.pdf,None
Age,1,9.744400024414062,9.744400024414062,True,False,343.4770812988281,464.05853271484375,1,3,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.577272405544249,0.5511383998988643,0.8349957121430116,file01.pdf,None
Relationship,1,9.744400024414062,9.744400024414062,True,False,444.5849609375,464.05853271484375,1,12,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.7472016150210085,0.5511383998988643,0.8349957121430116,file01.pdf,None
1.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,476.23907470703125,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.5656046017898233,0.8349957121430116,file01.pdf,None
2.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,488.47802734375,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.5801401749925772,0.8349957121430116,file01.pdf,None
3.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,500.65850830078125,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.5946063043952271,0.8349957121430116,file01.pdf,None
4.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,512.9559326171875,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.6092113213980849,0.8349957121430116,file01.pdf,None
5.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,529.4532470703125,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.6288043314374258,0.8349957121430116,file01.pdf,None
6.,1,9.744400024414062,9.744400024414062,True,False,103.62838745117188,541.6921997070312,1,2,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17416535706079306,0.6433399046401796,0.8349957121430116,file01.pdf,None
12. Amount of advance required.,1,9.744400024414062,9.744400024414062,True,False,70.02969360351562,561.1322631835938,5,31,False,False,True,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11769696403952205,0.6664278660137694,0.8349957121430116,file01.pdf,None
Rs.,1,9.744400024414062,9.744400024414062,False,False,304.39227294921875,561.1322631835938,1,3,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.5115836520154937,0.6664278660137694,0.8349957121430116,file01.pdf,None
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,1,9.744400024414062,9.744400024414062,False,False,105.07057189941406,596.8357543945312,18,99,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17658919646960347,0.7088310622262841,0.8349957121430116,file01.pdf,None
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,1,9.744400024414062,9.744400024414062,False,False,70.0296630859375,608.5387573242188,17,99,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11769691274947479,0.7227301155869581,0.8349957121430116,file01.pdf,None
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,1,9.744400024414062,9.744400024414062,False,False,105.08027648925781,632.061767578125,22,109,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.17660550670463498,0.7506671823968231,0.8349957121430116,file01.pdf,None
"advance, I undertake to refund the entire advance in one lump sum.",1,9.744400024414062,9.744400024414062,False,False,70.0394287109375,643.8232421875,12,66,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11771332556460085,0.7646356795576009,0.8349957121430116,file01.pdf,None
Date,1,9.744400024414062,9.744400024414062,True,False,70.0394287109375,678.9810180664062,1,4,True,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.11771332556460085,0.8063907577985823,0.8349957121430116,file01.pdf,None
Signature of Government Servant.,1,9.744400024414062,9.744400024414062,True,False,403.0445556640625,690.7425537109375,4,32,False,False,False,595.0,842.0,-0.13736056394868748,-0.13736056394868748,0.6773858078387605,0.8203593274476693,0.8349957121430116,file01.pdf,None
Overview,1,24.0,24.0,True,False,252.64999389648438,189.62002563476562,1,8,True,False,False,612.0,792.0,8.355499626304898,8.361099651508306,0.4128267874125562,0.23941922428632023,1.0,file02.pdf,None
Foundation Level Extensions,1,24.0,24.0,True,False,139.3459930419922,244.84402465820312,3,27,True,False,False,612.0,792.0,8.355499626304898,8.361099651508306,0.22768953111436632,0.3091464957805595,1.0,file02.pdf,title
Version 1.0,1,12.0,12.0,False,False,275.69000244140625,382.4300231933594,2,11,True,False,True,612.0,792.0,1.0811139489151635,1.0803367151659435,0.4504738601983762,0.48286619090070626,0.5,file02.pdf,None
International Software Testing Qualifications Board,1,18.0,18.0,False,False,103.33999633789062,465.6999816894531,5,51,True,False,False,612.0,792.0,4.718306787610031,4.720718183337125,0.16885620316648794,0.5880050273856732,0.75,file02.pdf,None
Copyright Notice,1,9.960000038146973,9.960000038146973,False,False,70.94400024414062,652.2861938476562,2,16,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.11592156902637357,0.8235936791005761,0.4150000015894572,file02.pdf,None
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",1,9.960000038146973,9.960000038146973,False,False,70.94400024414062,663.8099365234375,16,93,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.11592156902637357,0.8381438592467645,0.4150000015894572,file02.pdf,None
International,2,9.960000038146973,9.960000038146973,False,False,447.9100036621094,38.62621307373047,1,13,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7318790909511591,0.04877047105268999,0.4150000015894572,file02.pdf,None
Overview,2,12.0,12.0,False,False,74.42400360107422,41.58000183105469,1,8,True,False,False,612.0,792.0,1.0811139489151635,1.0803367151659435,0.1216078490213631,0.05250000231193774,0.5,file02.pdf,None
Software Testing,2,9.960000038146973,9.960000038146973,False,False,437.95001220703125,50.14617156982422,2,16,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7156045951095282,0.0633158731942225,0.4150000015894572,file02.pdf,None
Foundation Level Extension – Agile Tester,2,9.960000038146973,9.960000038146973,False,False,74.42400360107422,56.95212173461914,6,41,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.07190924461441811,0.4150000015894572,file02.pdf,None
Qualifications,2,9.960000038146973,9.960000038146973,False,False,430.75,61.66619110107422,1,14,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7038398692810458,0.07786135240034624,0.4150000015894572,file02.pdf,None
Board,2,9.960000038146973,9.960000038146973,False,False,493.54779052734375,61.66619110107422,1,5,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.8064506381165748,0.07786135240034624,0.4150000015894572,file02.pdf,None
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,2,9.960000038146973,9.960000038146973,False,False,70.94400024414062,120.36620330810547,10,92,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.11592156902637357,0.1519775294294261,0.4150000015894572,file02.pdf,None
Version 2014,2,9.960000038146973,9.960000038146973,False,False,76.58135986328125,718.683349609375,2,12,True,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.12513294095307395,0.9074284717290089,0.4150000015894572,file02.pdf,None
Page 2 of 12,2,9.960000038146973,9.960000038146973,False,False,270.1639404296875,718.683349609375,4,12,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.4414443471073325,0.9074284717290089,0.4150000015894572,file02.pdf,None
"May 31, 2014",2,9.960000038146973,9.960000038146973,False,False,471.5750732421875,718.683349609375,3,12,True,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.770547505297692,0.9074284717290089,0.4150000015894572,file02.pdf,None
© International Software Testing Qualifications Board,2,6.0,6.0,False,False,76.58399963378906,736.8900146484375,6,53,True,False,False,612.0,792.0,-2.5560788897797035,-2.5600447530052377,0.1251372543035769,0.9304166851621686,0.25,file02.pdf,None
Qualifications Board,3,9.960000038146973,9.960000038146973,False,False,430.75,61.66619110107422,2,20,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7038398692810458,0.07786135240034624,0.4150000015894572,file02.pdf,None
International,3,9.960000038146973,9.960000038146973,False,False,447.9100036621094,38.62621307373047,1,13,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7318790909511591,0.04877047105268999,0.4150000015894572,file02.pdf,None
Overview,3,12.0,12.0,False,False,74.42400360107422,41.58000183105469,1,8,True,False,False,612.0,792.0,1.0811139489151635,1.0803367151659435,0.1216078490213631,0.05250000231193774,0.5,file02.pdf,None
Software Testing,3,9.960000038146973,9.960000038146973,False,False,437.95001220703125,50.14617156982422,2,16,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7156045951095282,0.0633158731942225,0.4150000015894572,file02.pdf,None
Foundation Level Extension – Agile Tester,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,56.95212173461914,6,41,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.07190924461441811,0.4150000015894572,file02.pdf,None
Revision History,3,15.960000038146973,15.960000038146973,True,False,70.94400024414062,108.93620300292969,2,16,True,False,False,612.0,792.0,3.481661245578425,3.4829885073038453,0.11592156902637357,0.13754571086228495,0.6650000015894572,file02.pdf,H1
Version,3,9.960000038146973,9.960000038146973,True,False,74.42400360107422,139.44622802734375,1,7,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.17606846973149462,0.4150000015894572,file02.pdf,None
Date,3,9.960000038146973,9.960000038146973,True,False,146.4199981689453,139.44622802734375,1,4,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.17606846973149462,0.4150000015894572,file02.pdf,None
Remarks,3,9.960000038146973,9.960000038146973,True,False,278.69000244140625,139.44622802734375,1,7,True,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.17606846973149462,0.4150000015894572,file02.pdf,None
0.1,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,151.80621337890625,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.19167451184205334,0.4150000015894572,file02.pdf,None
18 JUNE 2013,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,151.80621337890625,3,12,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.19167451184205334,0.4150000015894572,file02.pdf,None
Initial version,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,151.80621337890625,2,15,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.19167451184205334,0.4150000015894572,file02.pdf,None
0.2,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,164.04620361328125,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.2071290449662642,0.4150000015894572,file02.pdf,None
23 JULY 2013,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,164.04620361328125,3,12,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.2071290449662642,0.4150000015894572,file02.pdf,None
WG reviewed and confirmed,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,164.04620361328125,4,25,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.2071290449662642,0.4150000015894572,file02.pdf,None
0.3,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,176.28619384765625,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.22258357809047508,0.4150000015894572,file02.pdf,None
6 NOV 2013,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,176.28619384765625,3,10,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.22258357809047508,0.4150000015894572,file02.pdf,None
amended population and diagram,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,176.28619384765625,4,30,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.22258357809047508,0.4150000015894572,file02.pdf,None
0.7,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,188.52618408203125,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.23803811121468593,0.4150000015894572,file02.pdf,None
11 DEC 2013,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,188.52618408203125,3,11,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.23803811121468593,0.4150000015894572,file02.pdf,None
Amended Business Outcomes and Chapters matching,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,188.52618408203125,6,47,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.23803811121468593,0.4150000015894572,file02.pdf,None
0.8,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,200.7662353515625,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.253492721403488,0.4150000015894572,file02.pdf,None
20 DEC 2013,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,200.7662353515625,3,11,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.253492721403488,0.4150000015894572,file02.pdf,None
Working group updates on 0.7,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,200.7662353515625,5,28,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.253492721403488,0.4150000015894572,file02.pdf,None
1.0,3,9.960000038146973,9.960000038146973,False,False,74.42400360107422,213.0062255859375,1,3,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1216078490213631,0.26894725452769885,0.4150000015894572,file02.pdf,None
31 MAY 2014,3,9.960000038146973,9.960000038146973,False,False,146.4199981689453,213.0062255859375,3,11,False,True,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.23924836302115246,0.26894725452769885,0.4150000015894572,file02.pdf,None
GA release for Agile Extension,3,9.960000038146973,9.960000038146973,False,False,278.69000244140625,213.0062255859375,5,30,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.45537582098268997,0.26894725452769885,0.4150000015894572,file02.pdf,None
Version 2014,3,9.960000038146973,9.960000038146973,False,False,76.58399963378906,718.6875610351562,2,12,True,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.1251372543035769,0.9074337891858033,0.4150000015894572,file02.pdf,None
Page 3 of 12,3,9.960000038146973,9.960000038146973,False,False,270.16656494140625,718.6875610351562,4,12,False,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.4414486355251736,0.9074337891858033,0.4150000015894572,file02.pdf,None
"May 31, 2014",3,9.960000038146973,9.960000038146973,False,False,471.57769775390625,718.6875610351562,3,12,True,False,True,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.7705517937155331,0.9074337891858033,0.4150000015894572,file02.pdf,None
© International Software Testing Qualifications Board,3,6.0,6.0,False,False,76.58399963378906,736.8900146484375,6,53,True,False,False,612.0,792.0,-2.5560788897797035,-2.5600447530052377,0.1251372543035769,0.9304166851621686,0.25,file02.pdf,None
..........................................................................................................................................,4,9.960000038146973,9.960000038146973,True,False,151.81919860839844,144.7261962890625,1,138,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.24807058596143536,0.18273509632457385,0.4150000015894572,file02.pdf,None
........................................................................................................................................,4,9.960000038146973,9.960000038146973,True,False,157.3370361328125,162.1263427734375,1,136,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.25708666034773286,0.20470497824928977,0.4150000015894572,file02.pdf,None
............................................................................,4,9.960000038146973,9.960000038146973,True,False,322.97186279296875,179.64599609375,1,76,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.5277318019492954,0.22682575264362373,0.4150000015894572,file02.pdf,None
...............................................................,4,9.960000038146973,9.960000038146973,True,False,358.8677062988281,197.1656494140625,1,63,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.586385141011157,0.2489465270379577,0.4150000015894572,file02.pdf,None
.....................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,195.8623504638672,214.8048095703125,1,117,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.32003652036579605,0.2712181939019097,0.4150000015894572,file02.pdf,None
............................................................................................................,4,9.960000038146973,9.960000038146973,False,False,221.818115234375,226.32855224609375,1,108,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.36244790070976307,0.2857683740480982,0.4150000015894572,file02.pdf,None
...................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,201.6291961669922,237.76263427734375,1,115,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.32945947086109834,0.30020534630977747,0.4150000015894572,file02.pdf,None
...................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,201.6291961669922,249.286376953125,1,115,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.32945947086109834,0.3147555264559659,0.4150000015894572,file02.pdf,None
...................................................................................................,4,9.960000038146973,9.960000038146973,False,False,247.74398803710938,260.81011962890625,1,99,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.40481043796913296,0.32930570660215436,0.4150000015894572,file02.pdf,None
......................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,192.99386596679688,272.3338317871094,1,118,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.31534945419411253,0.3438558482160472,0.4150000015894572,file02.pdf,None
.........................................,4,9.960000038146973,9.960000038146973,True,False,414.07598876953125,289.73394775390625,1,41,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.6765947528913909,0.3658256916084675,0.4150000015894572,file02.pdf,None
.................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,201.61923217773438,307.37310791015625,1,113,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.32944318983289933,0.3880973584724195,0.4150000015894572,file02.pdf,None
....................................................................................................................................,4,9.960000038146973,9.960000038146973,False,False,146.89898681640625,318.7773132324219,1,132,False,False,False,612.0,792.0,-0.15553159311644188,-0.15739296086733603,0.24003102420981415,0.4024966076166943,0.4150000015894572,file02.pdf,None
